asset_name,asset_code,asset_type,location,manager,is_active,start_date,end_date,parent
"Mcneil, Stuart and Franklin Monitor 480",CODE-00264,Monitor,Data Center 1,Randy Reynolds,True,2025-02-18,,
Reeves-Jackson Software License 201,CODE-00265,Software License,Building A,Virginia Rodriguez,True,2021-04-03,,
Camacho-Marshall Router 802,CODE-00266,Router,Storage Room,Mike Burch,False,2023-11-30,2024-12-26,
Rivera Inc Router 243,CODE-00267,Router,Building A,Richard Stevens,True,2022-04-12,,
"Ware, Rodriguez and Chung Projector 665",CODE-00268,Projector,New York Office,Tyler Cook,True,2022-03-18,,
Jones PLC Software License 458,CODE-00269,Software License,Data Center 1,Julie Vazquez,True,2023-11-26,,
"Cummings, Ramos and Graham Laptop 372",CODE-00270,Laptop,Remote (Home),Charles Edwards,True,2023-03-31,,
Brooks-Mcdonald Projector 854,CODE-00271,Projector,London Office,Karl Owens,True,2025-10-09,,
Lynn Inc Desktop 168,CODE-00272,Desktop,Building B,Terry Williams,True,2025-10-24,,
Smith-Walter Router 584,CODE-00273,Router,London Office,Stephen Murphy,True,2024-08-05,,
Drake-Garcia Desktop 801,CODE-00274,Desktop,Building A,Joseph Bennett,True,2025-06-25,,
"Pierce, Thomas and Underwood Printer 371",CODE-00275,Printer,Data Center 1,Angela Edwards,False,2021-02-12,2025-02-06,
"Barker, Walker and Knight Projector 735",CODE-00276,Projector,Storage Room,Marc Clark,True,2025-07-31,,
Mata-Williamson Server 890,CODE-00277,Server,Storage Room,Jeremiah Martin,True,2023-07-06,,
Johnson PLC Router 945,CODE-00278,Router,Storage Room,Gregory Flynn,True,2025-02-21,,
"Walsh, Roberts and Logan Printer 551",CODE-00279,Printer,London Office,Michael Smith,True,2022-10-18,,
Walker-Romero Phone 180,CODE-00280,Phone,London Office,Alexander Rivera,True,2022-11-24,,
"Robinson, Lopez and Lopez Router 128",CODE-00281,Router,Building A,Erika Gonzalez,True,2021-11-04,,
Hernandez and Sons Server 211,CODE-00282,Server,New York Office,Scott Miranda,True,2023-08-17,,
"Juarez, Riley and Edwards Phone 942",CODE-00283,Phone,Building B,Brittany Lloyd,True,2023-10-06,,
"Page, Anderson and Allen Projector 695",CODE-00284,Projector,Building A,Elizabeth Booth,True,2024-03-19,,
"Dean, Sullivan and Humphrey Software License 637",CODE-00285,Software License,Data Center 1,Christina Baker,False,2021-02-07,2024-09-08,
Foster-Lee Desktop 604,CODE-00286,Desktop,New York Office,Raymond Wilson,True,2020-11-30,,
Young Ltd Phone 279,CODE-00287,Phone,Building A,Adrian Vaughn,True,2025-01-07,,
"Sloan, Hudson and Wilson Monitor 677",CODE-00288,Monitor,Building B,Rachel Morales,True,2025-10-26,,
Glover Ltd Printer 181,CODE-00289,Printer,London Office,Angela Conway,True,2023-03-27,,
Sanchez-Ward Server 349,CODE-00290,Server,London Office,Dorothy Atkins,True,2022-12-02,,
James-Wilson Printer 686,CODE-00291,Printer,Building A,Samantha Kelly,True,2024-07-14,,
Ayala and Sons Projector 309,CODE-00292,Projector,New York Office,Rebecca Church,True,2021-11-01,,
Brennan LLC Router 955,CODE-00293,Router,Building A,Brian Waters,True,2025-07-11,,
"Bates, Peck and Vincent Router 509",CODE-00294,Router,New York Office,Melissa Cohen,True,2021-06-01,,
Copeland PLC Phone 565,CODE-00295,Phone,New York Office,Robert Hamilton,True,2023-07-13,,
"Green, Frost and Richardson Phone 207",CODE-00296,Phone,Building B,Matthew Miller,False,2023-09-20,2024-08-24,
Chambers-Ruiz Projector 767,CODE-00297,Projector,London Office,Mary Banks,True,2023-02-20,,
Jones PLC Printer 418,CODE-00298,Printer,Storage Room,Teresa Terry,True,2024-06-01,,
Harris Group Software License 682,CODE-00299,Software License,Data Center 1,Dustin Mueller,True,2024-08-31,,
Lutz-Meyer Router 450,CODE-00300,Router,Remote (Home),Edwin Rice,True,2025-10-01,,
"Green, Cole and Larsen Projector 425",CODE-00301,Projector,London Office,Jessica Smith,True,2022-02-17,,
"Nguyen, Williams and Graham Phone 931",CODE-00302,Phone,Storage Room,Walter Foster,True,2021-01-09,,
"Morales, Goodman and Nelson Software License 583",CODE-00303,Software License,Data Center 1,Jeremy Hernandez,True,2023-04-14,,
Simpson Group Desktop 712,CODE-00304,Desktop,Storage Room,Matthew Daniels,True,2022-09-12,,
"Ramirez, Sherman and Benson Monitor 850",CODE-00305,Monitor,Building A,Ashley Barnett,True,2023-06-18,,
Wilson-Russell Monitor 792,CODE-00306,Monitor,Remote (Home),Jeff Chambers,True,2024-01-01,,
Wu Ltd Router 249,CODE-00307,Router,Storage Room,Sharon Allen,True,2022-10-08,,
Elliott Ltd Desktop 791,CODE-00308,Desktop,Remote (Home),Jennifer Daugherty,True,2025-10-22,,
"Smith, Collins and Brooks Projector 928",CODE-00309,Projector,Building A,Elizabeth Hurley,True,2024-05-23,,
Torres PLC Monitor 944,CODE-00310,Monitor,Data Center 1,Alan Clark,False,2025-09-29,2025-10-18,
"Rush, Jackson and Barnett Printer 193",CODE-00311,Printer,Building A,Tammy Lowery,True,2024-11-29,,
Williamson Inc Phone 377,CODE-00312,Phone,Data Center 1,Margaret Wilson,False,2024-03-08,2024-04-01,
Morrison-Mccarthy Desktop 451,CODE-00313,Desktop,New York Office,Ryan Fisher,True,2024-01-04,,
Simmons Group Router 561,CODE-00314,Router,Building B,Jamie James,True,2023-05-28,,
Bradley-Guerrero Monitor 426,CODE-00315,Monitor,Building A,Christopher Boyd,True,2025-01-19,,
Thomas Group Projector 634,CODE-00316,Projector,Building A,Rodney Sandoval,True,2025-10-16,,
Nelson Inc Printer 437,CODE-00317,Printer,New York Office,Nicholas Bailey,True,2021-04-09,,
Salazar Inc Desktop 780,CODE-00318,Desktop,Storage Room,Amanda Hunter,True,2020-12-10,,
Thompson Ltd Monitor 383,CODE-00319,Monitor,London Office,Joseph Farrell,True,2025-04-08,,
Sullivan-Fowler Laptop 401,CODE-00320,Laptop,Storage Room,Lucas Hunter,True,2020-12-16,,
Fuentes-Krause Monitor 760,CODE-00321,Monitor,Remote (Home),Daniel Hunter,True,2023-05-19,,
Bridges and Sons Laptop 915,CODE-00322,Laptop,London Office,Bethany Burch,True,2025-05-25,,
Schmitt-Johnson Router 124,CODE-00323,Router,Remote (Home),Richard Perez,True,2021-06-02,,
"Gibbs, Perez and Ballard Phone 742",CODE-00324,Phone,Storage Room,Nicholas Hayes,True,2020-11-23,,
"Weaver, Parker and Lewis Projector 637",CODE-00325,Projector,Building B,Dylan Jacobs,True,2023-02-28,,
Hall-Diaz Router 215,CODE-00326,Router,Remote (Home),Tina Cox,True,2023-06-09,,
Obrien-Gordon Printer 169,CODE-00327,Printer,Data Center 1,Brett Campbell,True,2024-03-31,,
"Gay, Rojas and Chang Printer 784",CODE-00328,Printer,Storage Room,Antonio Cooper,False,2021-02-20,2025-06-29,
Ross-Vargas Phone 789,CODE-00329,Phone,New York Office,Thomas Powell,True,2022-01-16,,
"Mcguire, Mcmahon and Love Monitor 634",CODE-00330,Monitor,Storage Room,Cole Saunders,True,2023-04-07,,
"Rodgers, Davidson and Lopez Printer 443",CODE-00331,Printer,Remote (Home),Madeline Johnson,False,2023-08-31,2025-09-03,
"Ray, George and Lopez Monitor 176",CODE-00332,Monitor,Remote (Home),Wendy Hunt,True,2024-01-17,,
Rose-Jackson Software License 386,CODE-00333,Software License,New York Office,Catherine Reynolds,True,2024-06-09,,
Brown PLC Phone 858,CODE-00334,Phone,New York Office,Jerry Ortega,False,2021-07-14,2023-02-26,
Phillips Inc Laptop 214,CODE-00335,Laptop,Building A,John Christensen,True,2021-03-05,,
Browning-Norman Router 242,CODE-00336,Router,Storage Room,Laura Johnson,True,2025-08-07,,
Martin Ltd Router 802,CODE-00337,Router,London Office,Jonathan Becker,True,2021-07-08,,
Ortiz and Sons Server 156,CODE-00338,Server,Remote (Home),Mr. Wayne Reyes,True,2024-11-17,,
Flynn-Hill Phone 441,CODE-00339,Phone,Building A,James Cohen,True,2025-10-19,,
Galloway Ltd Printer 608,CODE-00340,Printer,London Office,Jeremy Scott,True,2022-07-20,,
Reid-Pratt Monitor 870,CODE-00341,Monitor,Building A,Barry Allen,True,2024-05-21,,
Hardy Ltd Software License 211,CODE-00342,Software License,Remote (Home),Gary Smith,False,2021-12-12,2023-03-26,
"Perry, Warren and Lin Desktop 681",CODE-00343,Desktop,Data Center 1,Dana Kelley,False,2022-03-14,2025-08-19,
Smith-Schultz Projector 979,CODE-00344,Projector,London Office,Christopher Johnson,True,2021-08-08,,
Jacobs-Wilson Software License 453,CODE-00345,Software License,Storage Room,Olivia Mccullough,True,2021-01-08,,
"Crawford, Martin and Dennis Projector 793",CODE-00346,Projector,Remote (Home),Tracy Haney,True,2024-09-25,,
"Velez, Smith and Johnson Phone 638",CODE-00347,Phone,Building A,Ronald Carter,True,2023-10-03,,
Brandt-Watson Printer 485,CODE-00348,Printer,Remote (Home),Catherine Fitzgerald,True,2023-06-09,,
Smith-Ortega Laptop 486,CODE-00349,Laptop,Storage Room,Amanda Rodriguez,True,2025-03-31,,
Sanders-Mann Server 142,CODE-00350,Server,Building A,Robert Davis,True,2025-05-18,,
Dawson PLC Laptop 566,CODE-00351,Laptop,Storage Room,William Hoffman,True,2025-06-10,,
Howard-Bernard Projector 145,CODE-00352,Projector,Building B,Matthew Jackson,True,2021-07-02,,
Ingram LLC Phone 757,CODE-00353,Phone,London Office,Laurie Brown,True,2023-12-09,,
Miles Group Projector 732,CODE-00354,Projector,New York Office,Jennifer Wright,True,2021-01-05,,
"Murphy, Roberts and Lee Server 542",CODE-00355,Server,Data Center 1,Heidi Jensen,True,2021-11-09,,
Higgins-Bennett Laptop 654,CODE-00356,Laptop,Building B,Jason Gonzales,True,2023-07-15,,
Peterson-Bailey Router 786,CODE-00357,Router,New York Office,Nicole Sanders,True,2024-09-19,,
Weber and Sons Projector 501,CODE-00358,Projector,Data Center 1,Daniel Page,True,2023-03-28,,
"Smith, Perry and Espinoza Server 313",CODE-00359,Server,Data Center 1,Valerie Marquez,True,2025-02-15,,
"Owens, Evans and Morales Desktop 105",CODE-00360,Desktop,Data Center 1,Patrick Cortez,True,2025-04-02,,
"Griffin, Owens and Johnson Projector 201",CODE-00361,Projector,Building B,Meghan Conway,True,2021-05-31,,
Foster and Sons Laptop 744,CODE-00362,Laptop,Building B,John Dalton,True,2021-12-19,,
"Hartman, Anderson and Gallagher Laptop 113",CODE-00363,Laptop,Data Center 1,Evelyn Flowers,False,2023-06-09,2024-07-29,
"Becker, Garcia and Harmon Projector 810",CODE-00364,Projector,Building B,Emily Schultz,True,2021-02-04,,
Sanchez-Reeves Printer 314,CODE-00365,Printer,Storage Room,Scott Perez,True,2023-02-07,,
"Elliott, Heath and Chung Software License 941",CODE-00366,Software License,Storage Room,Lauren Warner,True,2023-05-15,,
"Palmer, Garcia and Perez Projector 707",CODE-00367,Projector,Building B,Charles Bishop,True,2022-09-08,,
Lopez-Davis Monitor 532,CODE-00368,Monitor,Building B,James Fowler,True,2025-09-19,,
"Lam, Jacobs and Acevedo Desktop 654",CODE-00369,Desktop,Building A,Troy James,True,2021-06-10,,
Macdonald PLC Phone 692,CODE-00370,Phone,Data Center 1,Andrea Phillips,True,2022-01-16,,
Gregory-Gay Phone 524,CODE-00371,Phone,Data Center 1,Jeffrey Ali,True,2025-05-05,,
"Carey, Leach and Rocha Monitor 960",CODE-00372,Monitor,London Office,Roy Davis,True,2021-10-01,,
Davis-Morgan Desktop 246,CODE-00373,Desktop,London Office,Kimberly Phillips,True,2025-09-08,,
"Hayes, Mcintyre and Franklin Monitor 352",CODE-00374,Monitor,London Office,Tiffany Woods,True,2024-10-11,,
Torres Group Laptop 483,CODE-00375,Laptop,Data Center 1,Abigail Bailey,True,2023-04-28,,
Huffman Group Server 133,CODE-00376,Server,Remote (Home),Megan Hernandez,True,2023-03-28,,
Montgomery-Anderson Phone 791,CODE-00377,Phone,Storage Room,Jennifer Sanchez,True,2025-02-25,,
"Rodriguez, Williams and Ali Laptop 183",CODE-00378,Laptop,Building A,Nicholas Jones,True,2024-09-14,,
Warren-Mays Projector 683,CODE-00379,Projector,New York Office,Jennifer Jones,True,2022-11-22,,
Mooney and Sons Phone 761,CODE-00380,Phone,New York Office,Elizabeth Hernandez,True,2021-08-10,,
"Jackson, Allen and Carroll Software License 809",CODE-00381,Software License,New York Office,Emily Silva,True,2022-05-18,,
"Berg, Green and Wells Projector 271",CODE-00382,Projector,Remote (Home),Jennifer Williams,True,2024-06-12,,
Delacruz LLC Monitor 613,CODE-00383,Monitor,Building A,Joseph Fry,True,2024-01-10,,
Foster and Sons Server 208,CODE-00384,Server,Remote (Home),Taylor Livingston,True,2021-08-03,,
Edwards-Mitchell Monitor 985,CODE-00385,Monitor,Storage Room,Heather Warren,True,2024-01-07,,
Clarke-White Server 731,CODE-00386,Server,Storage Room,Kristin Martin,False,2023-08-25,2024-09-21,
Chandler-Ayala Laptop 974,CODE-00387,Laptop,New York Office,Jessica Avery,True,2024-03-16,,
Delacruz and Sons Monitor 562,CODE-00388,Monitor,Storage Room,Rachel Nelson,True,2021-04-16,,
"Gonzalez, Patton and Jones Software License 445",CODE-00389,Software License,Building B,Jean Welch,True,2024-04-28,,
Jackson-Mendoza Router 239,CODE-00390,Router,Data Center 1,Richard Allen,True,2022-08-22,,
"Patton, Bell and Edwards Router 550",CODE-00391,Router,Building B,Jose Long,True,2021-02-14,,
Dominguez-Mueller Printer 335,CODE-00392,Printer,Remote (Home),Jessica Valentine,True,2022-11-14,,
Perry Inc Router 836,CODE-00393,Router,Storage Room,Melissa Torres,True,2025-08-31,,
Gray-Russell Server 528,CODE-00394,Server,Building B,Renee Guerra,True,2025-02-08,,
Gutierrez Ltd Laptop 255,CODE-00395,Laptop,Building A,Theresa Wolf,True,2024-07-02,,
Brown Inc Projector 336,CODE-00396,Projector,Building A,Kelly Murphy,True,2022-06-23,,
Roach-Dickerson Monitor 694,CODE-00397,Monitor,Building B,Melissa Salazar,True,2024-08-26,,
Allen-Gonzalez Laptop 104,CODE-00398,Laptop,Building B,Charles Mitchell,True,2024-08-14,,
Jones-Phillips Printer 261,CODE-00399,Printer,Building B,Brittany Martinez,True,2025-10-08,,
Swanson and Sons Projector 954,CODE-00400,Projector,Data Center 1,Brianna Cobb,True,2021-03-03,,
Carpenter-Bautista Monitor 990,CODE-00401,Monitor,New York Office,Tiffany Mitchell,True,2021-06-06,,
"Williams, Lewis and Johnson Server 586",CODE-00402,Server,Data Center 1,Veronica Brooks,True,2023-05-03,,
Duncan PLC Projector 179,CODE-00403,Projector,Storage Room,Laura Garcia,True,2023-06-04,,
Cole-Acevedo Software License 677,CODE-00404,Software License,Remote (Home),Michelle Russell,True,2024-08-22,,
"Thompson, Fritz and Wallace Printer 378",CODE-00405,Printer,Remote (Home),David Robinson,False,2024-04-26,2025-08-08,
"Webb, Meyer and Grant Desktop 316",CODE-00406,Desktop,Building A,Peter Jackson,True,2025-04-15,,
"Le, Curry and Smith Laptop 871",CODE-00407,Laptop,Building A,Deborah Sullivan,True,2023-03-10,,
Edwards LLC Router 134,CODE-00408,Router,Remote (Home),Douglas Brown,True,2024-06-01,,
"Heath, Kelly and Richards Router 632",CODE-00409,Router,Storage Room,Kathy Hawkins,True,2023-01-10,,
Hughes Ltd Software License 781,CODE-00410,Software License,Remote (Home),Joseph Curtis,True,2025-04-14,,
Chen-Walker Laptop 746,CODE-00411,Laptop,New York Office,Kathy Mendoza,True,2022-09-23,,
Brewer-Morton Desktop 115,CODE-00412,Desktop,London Office,Robert Robinson,False,2022-02-06,2025-08-05,
Cox and Sons Monitor 882,CODE-00413,Monitor,Data Center 1,Jeffrey Brown,True,2021-03-09,,
"Dunn, Anderson and George Phone 149",CODE-00414,Phone,Remote (Home),Laura Greene,False,2022-03-19,2023-05-16,
Zavala-Moses Software License 696,CODE-00415,Software License,Building A,Karen Smith,True,2025-02-28,,
"Baker, Nelson and Baker Projector 234",CODE-00416,Projector,London Office,Chad Griffith,True,2024-03-26,,
"Fields, Mcbride and Hernandez Printer 919",CODE-00417,Printer,Building A,John Phillips,True,2022-09-30,,
Wise-Moore Phone 730,CODE-00418,Phone,New York Office,Courtney Scott,True,2025-08-18,,
Ayala-Macias Router 748,CODE-00419,Router,Data Center 1,Jackie King,True,2024-10-19,,
Baxter-Lopez Printer 578,CODE-00420,Printer,Building B,Kenneth Weaver,True,2021-10-13,,
Kerr-Kim Projector 824,CODE-00421,Projector,Building A,Robert Munoz,True,2021-06-22,,
Thomas PLC Desktop 706,CODE-00422,Desktop,London Office,Beth Baker,True,2025-10-25,,
Burns PLC Server 795,CODE-00423,Server,Data Center 1,Tamara Smith,True,2024-01-20,,
Newman-Estrada Projector 256,CODE-00424,Projector,Building A,Holly Espinoza,True,2023-02-03,,
Fernandez-Yu Software License 844,CODE-00425,Software License,Remote (Home),Jared Johnson,True,2022-07-11,,
Brooks-Anderson Phone 797,CODE-00426,Phone,London Office,Jamie Randolph,True,2024-11-15,,
Hebert and Sons Projector 679,CODE-00427,Projector,Building A,Jeffrey Heath,True,2021-04-02,,
Perez-Martin Projector 195,CODE-00428,Projector,Building B,Daniel Tran,True,2021-07-17,,
"Cardenas, Mayo and Coleman Desktop 932",CODE-00429,Desktop,New York Office,Kristi Lynch,True,2023-02-18,,
Kirby Inc Software License 315,CODE-00430,Software License,Storage Room,Richard Gutierrez,True,2025-04-29,,
Washington-Taylor Desktop 300,CODE-00431,Desktop,Data Center 1,Rhonda Petersen,True,2025-01-25,,
Rodriguez Inc Laptop 961,CODE-00432,Laptop,Building A,Angela Adkins,True,2025-04-15,,
Carpenter Inc Monitor 118,CODE-00433,Monitor,London Office,Jeremiah Bowers,True,2025-08-19,,
Deleon-Vargas Projector 245,CODE-00434,Projector,New York Office,David Barker Jr.,True,2022-07-28,,
White-Salinas Monitor 382,CODE-00435,Monitor,Storage Room,Julie Shaw,True,2023-04-25,,
Kramer Inc Server 619,CODE-00436,Server,Remote (Home),Jennifer Gutierrez,True,2025-08-01,,
Parker-Bell Server 573,CODE-00437,Server,Building B,Amanda Yang,True,2023-11-02,,
Bennett-Elliott Projector 995,CODE-00438,Projector,Building A,Sarah Jackson,True,2023-03-18,,
Gallagher Ltd Laptop 944,CODE-00439,Laptop,Building B,Jennifer Randall,True,2023-10-14,,
Mcclure and Sons Server 337,CODE-00440,Server,Building A,Sarah Aguilar,True,2024-01-22,,
Rodriguez-Petty Laptop 788,CODE-00441,Laptop,London Office,Christopher Zamora,True,2022-05-08,,
Rowe-Bentley Monitor 114,CODE-00442,Monitor,London Office,Frank Lewis,True,2024-02-22,,
Thomas-Quinn Software License 368,CODE-00443,Software License,Building A,Virginia Daniels,True,2022-05-01,,
"Travis, Moreno and Brown Phone 930",CODE-00444,Phone,Data Center 1,Christopher Burton,True,2023-01-22,,
"White, Wilson and Hanson Monitor 963",CODE-00445,Monitor,Data Center 1,Travis Vasquez,True,2021-10-10,,
Gray PLC Software License 409,CODE-00446,Software License,Data Center 1,Andrew Cook,True,2023-06-21,,
Miller-Ponce Projector 330,CODE-00447,Projector,London Office,Mr. Tyrone Trujillo,False,2022-06-07,2022-11-29,
"Santos, Richmond and Miller Printer 206",CODE-00448,Printer,Building B,Shannon Fry,True,2021-03-24,,
Webb Inc Projector 881,CODE-00449,Projector,Building B,Lydia Andrews,True,2024-07-09,,
"Phillips, Foley and Harris Software License 158",CODE-00450,Software License,New York Office,Samuel Mathews,False,2024-06-05,2025-10-23,
Diaz-Harris Monitor 224,CODE-00451,Monitor,New York Office,Jennifer Estrada,True,2022-03-19,,
Sanford-Johnson Software License 792,CODE-00452,Software License,New York Office,Andrea Strickland,True,2024-03-19,,
Ramirez-Baker Desktop 918,CODE-00453,Desktop,London Office,Matthew Davis,True,2024-12-27,,
Navarro LLC Desktop 591,CODE-00454,Desktop,Building A,Tammy Williamson,True,2024-05-13,,
Moreno-Soto Desktop 786,CODE-00455,Desktop,Storage Room,Darlene Woods,True,2025-06-01,,
"Soto, Watson and Anderson Router 286",CODE-00456,Router,Storage Room,Teresa Dunn MD,True,2024-08-26,,
Gregory Group Phone 536,CODE-00457,Phone,Building B,Michael Summers,True,2021-10-25,,
Ryan Ltd Server 615,CODE-00458,Server,Building A,Dr. David Adkins,True,2023-01-27,,
"Lopez, Odonnell and Torres Router 819",CODE-00459,Router,Data Center 1,Alexander Wiley,True,2022-03-06,,
"Manning, Hurst and Ingram Monitor 405",CODE-00460,Monitor,Building B,Jason Parks,True,2023-06-26,,
Dixon Inc Server 666,CODE-00461,Server,Building A,Marvin Reed,True,2021-02-19,,
Vincent-Duran Laptop 538,CODE-00462,Laptop,Building A,Charles Davis,True,2024-08-06,,
Hebert Ltd Laptop 354,CODE-00463,Laptop,Storage Room,Christopher Knight,True,2025-06-17,,
Patterson-Kline Phone 877,CODE-00464,Phone,London Office,Megan Fowler DDS,True,2021-04-08,,
Snyder Group Router 581,CODE-00465,Router,London Office,Melissa Stevens,False,2023-11-02,2025-01-17,
Walker-Jackson Monitor 527,CODE-00466,Monitor,Storage Room,Jeffrey Lee,True,2022-11-27,,
Hayes-Owen Projector 702,CODE-00467,Projector,New York Office,Michael Mathis,True,2025-04-21,,
Kennedy-Young Printer 662,CODE-00468,Printer,New York Office,Charles Hart,True,2024-12-12,,
Jones and Sons Router 926,CODE-00469,Router,Data Center 1,Amber Perkins,True,2025-06-28,,
Sutton and Sons Software License 387,CODE-00470,Software License,Building A,Allison Roberts,True,2022-04-14,,
Garcia-Kemp Printer 512,CODE-00471,Printer,Storage Room,Sheila Smith,True,2022-10-12,,
Campbell Group Monitor 236,CODE-00472,Monitor,Building B,Evan Macias,False,2024-02-09,2025-01-09,
Allen-Molina Projector 410,CODE-00473,Projector,Remote (Home),Ashley Contreras,True,2022-06-30,,
Daniel and Sons Printer 378,CODE-00474,Printer,London Office,David Hardin,True,2021-05-24,,
Kirk Inc Desktop 270,CODE-00475,Desktop,Building B,Samuel Martinez,True,2023-03-18,,
Walker-Kemp Printer 114,CODE-00476,Printer,Remote (Home),Cynthia Harvey,True,2021-09-07,,
Pineda Inc Monitor 845,CODE-00477,Monitor,New York Office,Timothy Webster,True,2024-09-04,,
Hardy PLC Monitor 329,CODE-00478,Monitor,Remote (Home),Mrs. Rachel Chavez,True,2024-04-08,,
Peters-White Laptop 754,CODE-00479,Laptop,Building B,Shannon Peterson,True,2022-09-21,,
Mcpherson Inc Laptop 407,CODE-00480,Laptop,Remote (Home),Todd Neal,True,2023-01-26,,
Jackson-Mitchell Projector 952,CODE-00481,Projector,Remote (Home),Tamara Owen,True,2024-10-19,,
"Nelson, Ellis and Richardson Desktop 494",CODE-00482,Desktop,Storage Room,Jordan Simon,True,2022-10-09,,
"Jones, Reeves and Castaneda Projector 537",CODE-00483,Projector,Building B,Jeffrey Johnson,True,2025-03-30,,
"Cooper, Mcgrath and Rice Router 370",CODE-00484,Router,Data Center 1,Emily Bradley DDS,True,2020-11-22,,
"Blackburn, Daniels and Kennedy Router 643",CODE-00485,Router,Building B,Gary Mitchell,True,2022-05-18,,
Brooks-Hayden Desktop 734,CODE-00486,Desktop,Storage Room,Beth Whitaker,True,2022-04-09,,
Wells-Lawrence Monitor 648,CODE-00487,Monitor,Storage Room,Larry Johnson,True,2022-04-15,,
Lee LLC Projector 945,CODE-00488,Projector,Building B,Raymond Solis,True,2022-07-03,,
Harrison-Drake Projector 120,CODE-00489,Projector,Data Center 1,Amanda Long,True,2024-04-22,,
"Richardson, Marquez and Robertson Monitor 495",CODE-00490,Monitor,London Office,Sharon Brown,True,2024-07-13,,
Davis-Green Server 740,CODE-00491,Server,London Office,Alexandra Beltran,True,2024-06-24,,
Watson Inc Laptop 590,CODE-00492,Laptop,Remote (Home),Tara Phillips,True,2024-06-09,,
Turner-Herring Server 732,CODE-00493,Server,Building B,Shawn Galvan,True,2021-10-11,,
Torres-Bailey Software License 933,CODE-00494,Software License,Storage Room,Mary Newman,False,2021-08-20,2023-09-04,
"Nguyen, Moody and Skinner Printer 264",CODE-00495,Printer,Data Center 1,Michele Simpson,True,2025-10-28,,
"Terrell, Gordon and Scott Router 418",CODE-00496,Router,Remote (Home),William Crawford,True,2022-09-22,,
Gillespie-Kidd Monitor 549,CODE-00497,Monitor,Building A,Kayla Moreno,True,2025-05-15,,
Knight PLC Projector 123,CODE-00498,Projector,Building B,Jennifer Fritz,False,2024-01-09,2025-02-24,
"Harper, Simpson and Ross Printer 169",CODE-00499,Printer,Building B,Brittany Pierce,True,2022-03-15,,
"Johnson, Cardenas and Maxwell Software License 768",CODE-00500,Software License,Remote (Home),Vanessa Adams,True,2021-07-26,,
"Conrad, Escobar and Wilson Router 152",CODE-00501,Router,Storage Room,Caleb Schroeder,True,2021-03-18,,
"Williams, Buchanan and Smith Desktop 504",CODE-00502,Desktop,New York Office,Shaun Parker,True,2022-05-29,,
"George, Smith and Carey Software License 439",CODE-00503,Software License,London Office,Jennifer Daniel,True,2021-06-16,,
Solomon-Davis Software License 339,CODE-00504,Software License,Building B,Mathew Bell,True,2022-12-31,,
"Reilly, Anderson and Jackson Desktop 693",CODE-00505,Desktop,London Office,Carla Kelly,True,2023-02-28,,
Baxter-Oneal Server 188,CODE-00506,Server,London Office,Jamie Williams,True,2022-12-21,,
Brooks LLC Printer 741,CODE-00507,Printer,New York Office,Jason Yang,True,2025-09-10,,
Vaughn LLC Printer 650,CODE-00508,Printer,Building B,Thomas Johnson,True,2022-06-03,,
Walker and Sons Projector 270,CODE-00509,Projector,Storage Room,John Parker,True,2021-06-18,,
Gay Inc Desktop 253,CODE-00510,Desktop,Building A,Rhonda Mccoy,True,2023-09-27,,
Rojas Inc Server 205,CODE-00511,Server,New York Office,Julian Ingram,True,2023-11-24,,
Barnett Ltd Printer 570,CODE-00512,Printer,London Office,Jon Barker,True,2023-11-28,,
Juarez LLC Router 798,CODE-00513,Router,Building A,Jesus Maldonado,True,2025-02-14,,
"Lamb, Oneill and Gardner Laptop 461",CODE-00514,Laptop,New York Office,Joshua Johnson,True,2020-12-12,,
Weaver LLC Printer 580,CODE-00515,Printer,Remote (Home),Jonathan Berry MD,True,2022-03-11,,
Skinner and Sons Monitor 968,CODE-00516,Monitor,Data Center 1,Sheila Scott,True,2023-11-27,,
"Henry, Miller and Barajas Phone 326",CODE-00517,Phone,Storage Room,Scott Wise,True,2021-09-16,,
Bennett and Sons Software License 809,CODE-00518,Software License,Storage Room,Robin Proctor,True,2024-07-27,,
Douglas-Sanders Laptop 633,CODE-00519,Laptop,Building A,Leslie Campbell,True,2024-02-08,,
Shepherd-Johnson Server 292,CODE-00520,Server,Storage Room,Taylor Woods,True,2024-08-24,,
"Armstrong, Kelly and Martinez Monitor 821",CODE-00521,Monitor,Remote (Home),Kimberly Flores,True,2021-07-24,,
Obrien-Edwards Router 844,CODE-00522,Router,Building A,David Brown,True,2022-07-23,,
Cherry and Sons Desktop 985,CODE-00523,Desktop,Storage Room,Yolanda Sanchez,True,2023-06-16,,
"Butler, Mckinney and Ross Software License 272",CODE-00524,Software License,London Office,Laura Cox,True,2025-10-17,,
Allen Group Desktop 982,CODE-00525,Desktop,New York Office,Jeffrey Nelson,True,2023-11-30,,
"Nguyen, Reid and Lutz Software License 473",CODE-00526,Software License,London Office,Jeffrey Lee,True,2024-05-12,,
"Carter, Middleton and Hopkins Server 409",CODE-00527,Server,New York Office,Margaret Schultz,True,2021-09-23,,
Gonzalez Group Laptop 478,CODE-00528,Laptop,London Office,Gabriella Atkins,True,2022-05-31,,
Lee-Keller Phone 835,CODE-00529,Phone,Data Center 1,Alexis Martinez,True,2023-05-31,,
Lucas Inc Monitor 397,CODE-00530,Monitor,New York Office,Jeremy Wood,True,2025-03-14,,
